	, 1	, 2	, 3	, 4	, 5
2^20, 5, 5, 5, 5, 5
2^21, 10, 10, 10, 10, 10
2^22, 25, 22, 22, 21, 22
2^23, 43, 44, 18446744073709596, 43, 43
2^24, 87, 87, 18446744073709640, 87, 87
2^25, 169, 170, 170, 18446744073709724, 170
