	, 1	, 2	, 3	, 4	, 5
2^20, 8799968.00, 8799968.00, 8799968.00, 8799968.00, 8799968.00
2^21, 15641975.00, 15641975.00, 15641975.00, 15641975.00, 15641975.00
2^22, 68326592.00, 68326592.00, 68326592.00, 68326592.00, 68326592.00
2^23, 62304864.00, 62304864.00, 62304864.00, 62304864.00, 62304864.00
2^24, 127286760.00, 127286760.00, 127286760.00, 127286760.00, 127286760.00
2^25, 348167680.00, 348167680.00, 348167680.00, 348167680.00, 348167680.00
