	, 1	, 2	, 3	, 4	, 5
2^20, 6, 6, 6, 6, 6
2^21, 12, 12, 12, 12, 12
2^22, 24, 25, 24, 23, 24
2^23, 46, 49, 18446744073709600, 49, 49
2^24, 100, 103, 101, 103, 101
2^25, 199, 197, 199, 201, 203
