	, 1	, 2	, 3	, 4	, 5
2^20, 8796779.00, 8796779.00, 8796779.00, 8796779.00, 8796779.00
2^21, 15619234.00, 15619234.00, 15619234.00, 15619234.00, 15619234.00
2^22, 66880252.00, 66880252.00, 66880252.00, 66880252.00, 66880252.00
2^23, 60403472.00, 60403472.00, 60403472.00, 60403472.00, 60403472.00
2^24, 118632768.00, 118632768.00, 118632768.00, 118632768.00, 118632768.00
2^25, 315725696.00, 315725696.00, 315725696.00, 315725696.00, 315725696.00
