	, 1	, 2	, 3	, 4	, 5
2^20, 8, 11, 10, 9, 8
2^21, 18, 17, 13, 16, 19
2^22, 34, 34, 33, 18446744073709584, 36
2^23, 18446744073709640, 58, 52, 63, 68
2^24, 148, 126, 136, 129, 135
2^25, 271, 264, 18446744073709792, 260, 283
