	, 1	, 2	, 3	, 4	, 5
2^20, 3, 3, 3, 3, 3
2^21, 6, 7, 6, 6, 6
2^22, 13, 15, 15, 15, 13
2^23, 32, 30, 30, 33, 34
2^24, 61, 63, 60, 61, 61
2^25, 18446744073709680, 128, 137, 126, 128
