	, 1	, 2	, 3	, 4	, 5
2^20, 6388584.00, 6388584.00, 6388584.00, 6388584.00, 6388584.00
2^21, 14416898.00, 14416898.00, 14416898.00, 14416898.00, 14416898.00
2^22, 38618308.00, 38618308.00, 38618308.00, 38618308.00, 38618308.00
2^23, 63733944.00, 63733944.00, 63733944.00, 63733944.00, 63733944.00
2^24, 280518080.00, 280518080.00, 280518080.00, 280518080.00, 280518080.00
2^25, 237398976.00, 237398976.00, 237398976.00, 237398976.00, 237398976.00
