	, 1	, 2	, 3	, 4	, 5
2^20, 5, 5, 5, 5, 5
2^21, 9, 9, 9, 9, 9
2^22, 18, 18, 18, 17, 17
2^23, 35, 35, 35, 35, 35
2^24, 69, 69, 70, 69, 70
2^25, 138, 138, 139, 138, 138
