	, 1	, 2	, 3	, 4	, 5
2^20, 3, 3, 3, 2, 3
2^21, 5, 5, 5, 5, 5
2^22, 13, 12, 12, 13, 12
2^23, 26, 26, 26, 26, 27
2^24, 56, 60, 62, 54, 52
2^25, 18446744073709676, 127, 123, 18446744073709676, 123
