	, 1	, 2	, 3	, 4	, 5
2^20, 5, 5, 4, 5, 5
2^21, 10, 12, 10, 11, 10
2^22, 21, 21, 21, 22, 22
2^23, 46, 18446744073709596, 43, 43, 43
2^24, 86, 86, 18446744073709640, 85, 85
2^25, 166, 168, 168, 166, 165
