	, 1	, 2	, 3	, 4	, 5
2^20, 2, 2, 2, 2, 2
2^21, 5, 5, 5, 5, 5
2^22, 12, 12, 12, 12, 12
2^23, 26, 26, 27, 27, 26
2^24, 59, 59, 57, 58, 62
2^25, 137, 142, 135, 136, 132
